source,page,section,article,category,content
5730_qd-dhbk-qcts.pdf,12,,Điều 14,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 12 | Điều 15]
Đại học và trên phương tiện thông tin đại chúng khác.
6. Xét tuyển đợt tiếp theo
a) Xét tuyển đợt tiếp theo có thể được thực hiện một lần hay nhiều lần;
b) Căn cứ chỉ tiêu tuyển sinh của Đại học và số thí sinh trúng tuyển đã xác nhận nhập
học sau xét tuyển đợt 1 (kể cả số thí sinh được xét tuyển thẳng, học sinh các trường dự bị
đại học được giao đào tạo), HĐTS đại học xem xét và quyết định các đợt xét tuyển tiếp
theo.
Điều 15. Đăng ký và nộp hồ sơ xét tuyển
1. Thí sinh đăng ký nguyện vọng vào các ngành, chương trình của ĐHBK Hà Nội
bằng hình thức đăng ký trực tuyến theo quy định và hướng dẫn chung của Bộ GDĐT (cho
tất cả các phương thức xét tuyển);
2. Thí sinh muốn xét tuyển theo phương thức XTTN thì cần phải đăng ký hồ sơ xét"
5730_qd-dhbk-qcts.pdf,13,,Điều 16,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 13 | Điều 16]
tuyển theo quy định và được công bố mức điểm XTTN trước khi đăng ký nguyện vọng;
3. Thí sinh muốn xét tuyển theo phương thức sử dụng kết quả Kỳ thi ĐGTD cần phải
tham dự Kỳ thi ĐGTD và có kết quả thi;
4. Thí sinh muốn xét tuyển theo phương thức sử dụng kết quả Kỳ thi tốt nghiệp THPT
thì phải đăng ký dự thi các môn học để có thể tạo thành tối thiểu 1 trong các tổ hợp xét
tuyển của ĐHBK Hà Nội.
Điều 16. Thông báo kết quả và xác nhận nhập học
1. ĐHBK Hà Nội sẽ gửi giấy báo trúng tuyển cho những thí sinh trúng tuyển, trong
đó bao gồm những thông tin cần thiết đối với thí sinh khi nhập học và phương thức nhập
học của thí sinh.
2. Thí sinh xác nhận nhập học bằng hình thức trực tuyến theo quy định của Bộ GDĐT
và của ĐHBK Hà Nội.
3. Đối với những thí sinh không xác nhận nhập học trong thời hạn quy định, nếu"
5730_qd-dhbk-qcts.pdf,13,,Điều 16,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 13 | Điều 17]
đó bao gồm những thông tin cần thiết đối với thí sinh khi nhập học và phương thức nhập
học của thí sinh.
2. Thí sinh xác nhận nhập học bằng hình thức trực tuyến theo quy định của Bộ GDĐT
và của ĐHBK Hà Nội.
3. Đối với những thí sinh không xác nhận nhập học trong thời hạn quy định, nếu
không có lý do chính đáng thì coi như thí sinh từ chối nhập học.
Điều 17. Bảo lưu kết quả trúng tuyển
1. Thí sinh đã có giấy báo trúng tuyển được bảo lưu kết quả trúng tuyển trong những
trường hợp sau:
a) Đi nghĩa vụ quân sự hoặc đi thanh niên xung phong tập trung ngay trong năm trúng
tuyển theo quyết định hoặc lệnh của cơ quan có thẩm quyền;
b) Bị bệnh nặng hoặc bị tai nạn nghiêm trọng không thể nhập học đúng hạn, có hồ sơ
y tế và xác nhận của cơ quan y tế có thẩm quyền.
2. Thí sinh thuộc diện quy định tại khoản 1 Điều này phải gửi đơn xin bảo lưu kèm"
5730_qd-dhbk-qcts.pdf,13,,Điều 16,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 13]
tuyển theo quyết định hoặc lệnh của cơ quan có thẩm quyền;
b) Bị bệnh nặng hoặc bị tai nạn nghiêm trọng không thể nhập học đúng hạn, có hồ sơ
y tế và xác nhận của cơ quan y tế có thẩm quyền.
2. Thí sinh thuộc diện quy định tại khoản 1 Điều này phải gửi đơn xin bảo lưu kèm
theo giấy tờ minh chứng tới ĐHBK Hà Nội. Thời gian tối đa được bảo lưu kết quả được
quy định như sau:
- Diện quy định tại điểm a khoản 1 Điều này: theo thời gian làm nghĩa vụ được ghi
trong quyết định của cấp có thẩm quyền;
- Diện quy định tại điểm b khoản 1 Điều này: không quá 2 năm. Các trường hợp đặc
biệt do Giám đốc đại học quyết định.
3. Ngay sau khi đủ điều kiện đi học trở lại, người được bảo lưu kết quả trúng tuyển
phải thực hiện các thủ tục nhập học theo quy định của Đại học, trong đó phải cung cấp"
5730_qd-dhbk-qcts.pdf,13,,Điều 16,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 13 | Điều 18]
- Diện quy định tại điểm b khoản 1 Điều này: không quá 2 năm. Các trường hợp đặc
biệt do Giám đốc đại học quyết định.
3. Ngay sau khi đủ điều kiện đi học trở lại, người được bảo lưu kết quả trúng tuyển
phải thực hiện các thủ tục nhập học theo quy định của Đại học, trong đó phải cung cấp
minh chứng đã hoàn thành nhiệm vụ hoặc đã được điều trị hồi phục.
Điều 18. Tổ chức đăng ký và xét tuyển các đợt bổ sung
1. ĐHBK Hà Nội sẽ công bố kế hoạch xét tuyển, phương thức xét tuyển và hình thức
ĐKXT các đợt bổ sung (nếu có); điều kiện xét tuyển đối với các ngành, chương trình đào
tạo theo từng phương thức xét tuyển nhưng không thấp hơn điều kiện trúng tuyển đợt trước.
2. Thí sinh chưa trúng tuyển hoặc đã trúng tuyển nhưng chưa xác nhận nhập học vào
bất cứ nơi nào có thể ĐKXT các đợt bổ sung theo kế hoạch và hướng dẫn của HĐTS Đại
học."
5730_qd-dhbk-qcts.pdf,14,TUYỂN SINH ĐẠI HỌC HÌNH THỨC VỪA LÀM VỪA HỌC VÀ,Điều 19,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 14 | Điều 19]
3. Kết thúc mỗi đợt xét tuyển, ĐHBK Hà Nội công bố trên cổng thông tin tuyển sinh
điểm trúng tuyển (và các điều kiện, tiêu chí phụ nếu có) vào các ngành, chương trình đào
tạo theo các phương thức tuyển sinh; tổ chức cho thí sinh tra cứu kết quả xét tuyển của cá
nhân; gửi giấy báo trúng tuyển và hướng dẫn cho thí sinh trúng tuyển nhập học.
Chương III
TUYỂN SINH ĐẠI HỌC HÌNH THỨC VỪA LÀM VỪA HỌC VÀ
ĐẠI HỌC CHÍNH QUY ĐỐI VỚI NGƯỜI ĐÃ CÓ BẰNG ĐẠI HỌC
Điều 19. Đối tượng và điều kiện dự tuyển
1. Công dân Việt Nam đang làm việc trong các lĩnh vực kinh tế - xã hội thuộc các
thành phần kinh tế, có đủ sức khoẻ, không trong thời gian bị giam giữ, tạm giữ, tạm giam
hoặc bị truy cứu trách nhiệm hình sự.
2. Dự tuyển đại học VLVH
a) Thí sinh đã tốt nghiệp THPT: điều kiện nhận hồ sơ xét tuyển là tổng điểm học kỳ"
5730_qd-dhbk-qcts.pdf,14,TUYỂN SINH ĐẠI HỌC HÌNH THỨC VỪA LÀM VỪA HỌC VÀ,Điều 19,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 14 | Điều 3 của Quyết định này]
thành phần kinh tế, có đủ sức khoẻ, không trong thời gian bị giam giữ, tạm giữ, tạm giam
hoặc bị truy cứu trách nhiệm hình sự.
2. Dự tuyển đại học VLVH
a) Thí sinh đã tốt nghiệp THPT: điều kiện nhận hồ sơ xét tuyển là tổng điểm học kỳ
1 lớp 12 của môn Toán và 1 môn tự chọn trong các môn (Vật lý, Hóa học, Sinh học, Tin
học, Ngữ văn, Ngoại ngữ) đạt từ 11 điểm trở lên; riêng ngành Ngôn ngữ Anh điểm kết quả
học tập môn Ngoại ngữ không thấp hơn 6,0. Ngoại ngữ lựa chọn một trong các ngôn ngữ
sau: Tiếng Anh, Tiếng Pháp, Tiếng Đức, Tiếng Trung Quốc, Tiếng Nhật Bản. Phương thức
xét tuyển tuân theo khoản 3, Điều 3 của Quyết định này.
b) Những người đã tốt nghiệp cao đẳng, đại học tại các trường cao đẳng, đại học đã
đạt chuẩn kiểm định chất lượng theo quy định của Bộ GDĐT hoặc cấp có thẩm quyền. Đối"
5730_qd-dhbk-qcts.pdf,14,TUYỂN SINH ĐẠI HỌC HÌNH THỨC VỪA LÀM VỪA HỌC VÀ,Điều 19,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 14 | Điều 3 của Quyết định này]
xét tuyển tuân theo khoản 3, Điều 3 của Quyết định này.
b) Những người đã tốt nghiệp cao đẳng, đại học tại các trường cao đẳng, đại học đã
đạt chuẩn kiểm định chất lượng theo quy định của Bộ GDĐT hoặc cấp có thẩm quyền. Đối
với người có bằng tốt nghiệp đại học do cơ sở giáo dục đại học nước ngoài hoặc cơ sở giáo
dục đại học nước ngoài hoạt động hợp pháp ở Việt Nam cấp, văn bằng phải được công
nhận theo quy định hiện hành của Bộ GDĐT.
3. Dự tuyển ĐHCQ: những người đã tốt nghiệp đại học hình thức đào tạo chính quy
của các cơ sở giáo dục đại học đã đạt chuẩn kiểm định chất lượng theo quy định của Bộ
GDĐT. Đối với người có bằng tốt nghiệp đại học do cơ sở giáo dục đại học nước ngoài
hoặc cơ sở giáo dục đại học nước ngoài hoạt động hợp pháp ở Việt Nam cấp, văn bằng phải
được công nhận theo quy định hiện hành của Bộ GDĐT."
5730_qd-dhbk-qcts.pdf,14,TUYỂN SINH ĐẠI HỌC HÌNH THỨC VỪA LÀM VỪA HỌC VÀ,Điều 19,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 14 | Điều 20]
GDĐT. Đối với người có bằng tốt nghiệp đại học do cơ sở giáo dục đại học nước ngoài
hoặc cơ sở giáo dục đại học nước ngoài hoạt động hợp pháp ở Việt Nam cấp, văn bằng phải
được công nhận theo quy định hiện hành của Bộ GDĐT.
Điều 20. Phương thức xét tuyển đại học vừa làm vừa học cho đối tượng đã tốt
nghiệp THPT
ĐHBK Hà Nội xác định và công bố công khai trong thông tin tuyển sinh hàng năm
các tổ hợp được sử dụng để xét tuyển vào các ngành/chương trình theo quy định của Bộ
GDĐT."
5730_qd-dhbk-qcts.pdf,15,,Điều 21,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 15]
1. Xét tuyển kết hợp dựa trên kết quả học tập THPT và điểm thi tốt nghiệp THPT năm
2025.
Điểm xét tuyển là tổng điểm trung bình chung (TBC) 6 học kỳ bậc THPT của 3 môn
học tương ứng với các tổ hợp xét tuyển cộng với điểm cộng (bao gồm điểm ưu tiên đối
tượng/khu vực và điểm thưởng chứng chỉ ngoại ngữ nếu có). Điều kiện trúng tuyển theo
phương thức này là tổng điểm thi tốt nghiệp THPT của 3 môn theo tổ hợp xét tuyển phải
đạt từ 15 điểm trở lên. Kết quả thi tốt nghiệp THPT được xác định dựa trên điểm các bài
thi/môn thi theo thang điểm 10 hoặc quy đổi về thang điểm 10; điểm cộng theo quy định
của Quy chế tuyển sinh của Bộ GDĐT và Quy định của ĐHBK Hà Nội. Điều kiện phụ là
điểm thi THPT môn Toán; riêng ngành Ngôn ngữ Anh là điểm thi THPT Môn Ngoại ngữ
và được quy định cụ thể trong Thông tin tuyển sinh."
5730_qd-dhbk-qcts.pdf,15,,Điều 21,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 15]
thi/môn thi theo thang điểm 10 hoặc quy đổi về thang điểm 10; điểm cộng theo quy định
của Quy chế tuyển sinh của Bộ GDĐT và Quy định của ĐHBK Hà Nội. Điều kiện phụ là
điểm thi THPT môn Toán; riêng ngành Ngôn ngữ Anh là điểm thi THPT Môn Ngoại ngữ
và được quy định cụ thể trong Thông tin tuyển sinh.
2. Xét tuyển dựa trên điểm thi tốt nghiệp THPT 2025
Điểm xét tuyển là tổng điểm thi tốt nghiệp THPT của 3 môn học tương ứng với các
tổ hợp xét tuyển cộng với điểm cộng (bao gồm điểm ưu tiên đối tượng/khu vực và điểm
thưởng chứng chỉ ngoại ngữ nếu có). Kết quả thi tốt nghiệp THPT được xác định dựa trên
điểm các bài thi/môn thi theo thang điểm 10 hoặc quy đổi về thang điểm 10; điểm cộng
theo quy định của Quy chế tuyển sinh của Bộ GDĐT và Quy định của ĐHBK Hà Nội. Điều"
5730_qd-dhbk-qcts.pdf,15,,Điều 21,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 15 | Điều 21]
thưởng chứng chỉ ngoại ngữ nếu có). Kết quả thi tốt nghiệp THPT được xác định dựa trên
điểm các bài thi/môn thi theo thang điểm 10 hoặc quy đổi về thang điểm 10; điểm cộng
theo quy định của Quy chế tuyển sinh của Bộ GDĐT và Quy định của ĐHBK Hà Nội. Điều
kiện phụ là điểm thi THPT môn Toán; riêng ngành Ngôn ngữ Anh là điểm thi THPT Môn
Ngoại ngữ và được quy định cụ thể trong Thông tin tuyển sinh.
3. Xét tuyển theo điểm kỳ thi đánh giá tư duy (TSA) của ĐHBK Hà Nội năm 2024
hoặc năm 2025 với thí sinh đạt kết quả từ 40/100 điểm.
Điểm xét tuyển là điểm thi ĐGTD cộng với điểm cộng (bao gồm điểm ưu tiên đối
tượng/khu vực và điểm thưởng chứng chỉ ngoại ngữ nếu có). Điểm cộng theo quy định của
Quy chế tuyển sinh của Bộ GDĐT và Quy định của ĐHBK Hà Nội.
Điều 21. Phương thức xét tuyển đại học VLVH đối với đối tượng đã tốt nghiệp"
5730_qd-dhbk-qcts.pdf,15,,Điều 21,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 15 | Điều 21]
Điểm xét tuyển là điểm thi ĐGTD cộng với điểm cộng (bao gồm điểm ưu tiên đối
tượng/khu vực và điểm thưởng chứng chỉ ngoại ngữ nếu có). Điểm cộng theo quy định của
Quy chế tuyển sinh của Bộ GDĐT và Quy định của ĐHBK Hà Nội.
Điều 21. Phương thức xét tuyển đại học VLVH đối với đối tượng đã tốt nghiệp
cao đẳng, đại học và xét tuyển ĐHCQ đối với đối tượng đã tốt nghiệp ĐHCQ
1. Xét tuyển dựa trên hồ sơ đã tốt nghiệp cao đẳng hoặc đại học với tất cả các ngành
(trừ ngành Ngôn ngữ Anh).
2. Đối với ngành Ngôn ngữ Anh
- Phương thức 1: Xét tuyển dựa trên hồ sơ kết hợp phỏng vấn đối với thí sinh dự thi
văn bằng hai chính quy ngành Ngôn ngữ Anh.
- Phương thức 2: Xét tuyển thẳng văn bằng hai chính quy ngành Ngôn ngữ Anh với
các thí sinh đã có chứng chỉ quốc tế tối thiểu IELTS 4.5, TOEFL Institutional 477, TOEFL"
5730_qd-dhbk-qcts.pdf,15,,Điều 21,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 15]
- Phương thức 1: Xét tuyển dựa trên hồ sơ kết hợp phỏng vấn đối với thí sinh dự thi
văn bằng hai chính quy ngành Ngôn ngữ Anh.
- Phương thức 2: Xét tuyển thẳng văn bằng hai chính quy ngành Ngôn ngữ Anh với
các thí sinh đã có chứng chỉ quốc tế tối thiểu IELTS 4.5, TOEFL Institutional 477, TOEFL
Computer 153, iBT 53, TOEIC 500 hoặc Preliminary PET; chứng chỉ B1 hoặc B1 VSTEP
do các cơ sở đào tạo được Bộ GDĐT công nhận cấp còn thời hạn tại thời điểm nộp hồ sơ."
5730_qd-dhbk-qcts.pdf,16,,Điều 22,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 16 | Điều 22]
Điều 22. Tổ chức đăng ký và nộp hồ sơ, tổ chức xét tuyển và công nhận trúng
tuyển
1. Đăng ký và nộp hồ sơ
a) Thí sinh đăng ký xét tuyển (ĐKXT) theo hình thức trực tuyến tại hệ thống xét tuyển
trực tuyến của Trung tâm Đào tạo liên tục - ĐHBK Hà Nội trong khung thời gian quy định.
b) Quy trình thực hiện đăng ký trực tuyến đối với thí sinh như sau:
Bước 1: Truy cập vào trang thông tin ĐKXT.
Bước 2: Khai báo các thông tin cá nhân, nhận thông tin về tài khoản truy cập trang
thông tin và yêu cầu xác nhận qua địa chỉ email/ số điện thoại đã cung cấp.
Bước 3: Truy cập vào trang thông tin ĐKXT bằng tài khoản cá nhân, lựa chọn hình
thức xét tuyển và tiếp tục quá trình đăng ký theo hướng dẫn cụ thể của từng phương thức,
hình thức đào tạo.
Bước 4: Tải lên các bản chụp (scan) minh chứng liên quan: Bằng tốt nghiệp THPT"
5730_qd-dhbk-qcts.pdf,16,,Điều 22,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 16]
Bước 3: Truy cập vào trang thông tin ĐKXT bằng tài khoản cá nhân, lựa chọn hình
thức xét tuyển và tiếp tục quá trình đăng ký theo hướng dẫn cụ thể của từng phương thức,
hình thức đào tạo.
Bước 4: Tải lên các bản chụp (scan) minh chứng liên quan: Bằng tốt nghiệp THPT
hoặc cao đẳng hoặc đại học tùy thuộc vào hình thức đào tạo đăng ký, bảng điểm, giấy khai
sinh, các chứng chỉ, giấy tờ theo quy định, các minh chứng để hưởng chính sách ưu tiên
theo quy định và hướng dẫn của Bộ GDĐT và ĐHBK Hà Nội.
Bước 5: Kiểm tra lại các thông tin đã khai, các minh chứng đã tải lên và gửi hồ sơ.
Trong quá trình khai hồ sơ trực tuyến, các thông tin sẽ được lưu tạm thời và có thể chỉnh
sửa. Sau khi gửi hồ sơ, thí sinh không có quyền chỉnh sửa.
Bước 6: Kiểm tra email xác nhận của Đại học về việc đã nhận hồ sơ.
Bước 7: Hoàn thành lệ phí tuyển sinh theo quy định."
5730_qd-dhbk-qcts.pdf,16,,Điều 22,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 16]
Trong quá trình khai hồ sơ trực tuyến, các thông tin sẽ được lưu tạm thời và có thể chỉnh
sửa. Sau khi gửi hồ sơ, thí sinh không có quyền chỉnh sửa.
Bước 6: Kiểm tra email xác nhận của Đại học về việc đã nhận hồ sơ.
Bước 7: Hoàn thành lệ phí tuyển sinh theo quy định.
2. Tổ chức xét tuyển
a) Đối với đối tượng tốt nghiệp THPT:
- ĐHBK Hà Nội sử dụng kết quả thi tốt nghiệp THPT, kết quả học tập THPT, kết quả
thi ĐGTD, kết quả học tập cao đẳng, đại học và các thông tin khác cần thiết cho công tác
tuyển sinh do thí sinh đăng ký trên Hệ thống xét tuyển trực tuyến.
- Độc lập xét tuyển với hệ thống xét tuyển quốc gia.
- Nguyên tắc: Xét tuyển theo nguyện vọng từ cao xuống thấp, dừng xét tuyển khi thí
sinh đạt điều kiện hoặc hết nguyện vọng.
- Xét tuyển đợt 1
Sau khi hết thời hạn thí sinh đăng ký nguyện vọng xét tuyển, ĐHBK Hà Nội sẽ căn"
5730_qd-dhbk-qcts.pdf,16,,Điều 22,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 16]
- Độc lập xét tuyển với hệ thống xét tuyển quốc gia.
- Nguyên tắc: Xét tuyển theo nguyện vọng từ cao xuống thấp, dừng xét tuyển khi thí
sinh đạt điều kiện hoặc hết nguyện vọng.
- Xét tuyển đợt 1
Sau khi hết thời hạn thí sinh đăng ký nguyện vọng xét tuyển, ĐHBK Hà Nội sẽ căn
cứ vào thông tin thí sinh đã đăng ký trên hệ thống xét tuyển trực tuyến, tiến hành chuẩn
hóa dữ liệu xét tuyển, xác định điểm ưu tiên, điểm ngoại ngữ quy đổi, điểm thưởng theo
thông tin tuyển sinh đã công bố.
Xác định điểm trúng tuyển, ra quyết định điểm trúng tuyển theo ngành và danh sách
thí sinh trúng tuyển chính thức.
- Xét tuyển đợt tiếp theo có thể được thực hiện một lần hay nhiều lần. Căn cứ chỉ tiêu"
5730_qd-dhbk-qcts.pdf,17,XỬ LÝ VI PHẠM,Điều 23,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 17]
tuyển sinh của Đại học và số thí sinh trúng tuyển đã xác nhận nhập học sau xét tuyển đợt
1, HĐTS Đại học xem xét và quyết định các đợt xét tuyển tiếp theo.
b) Đối với đối tượng tốt nghiệp từ cao đẳng trở lên: Xét tuyển dựa trên hồ sơ đã tốt
nghiệp cao đẳng hoặc đại học. Thời gian tổ chức xét tuyển liên tục theo Thông tin tuyển
sinh.
Thí sinh xét tuyển đạt yêu cầu sẽ được công nhận trúng tuyển có điều kiện và phải
hoàn thành các học phần bổ túc kiến thức. Số học phần bổ túc được xem xét căn cứ vào
bảng điểm/phụ lục văn bằng tốt nghiệp của thí sinh dự tuyển và chương trình đào tạo mà
thí sinh đăng ký dự tuyển.
3. Công nhận trúng tuyển
Công bố kết quả trúng tuyển trên trang thông tin điện tử của Đại học và trên phương
tiện thông tin đại chúng khác. Thí sinh đủ điều kiện trúng tuyển sẽ nhận được Giấy báo"
5730_qd-dhbk-qcts.pdf,17,XỬ LÝ VI PHẠM,Điều 23,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 17 | Điều 23]
thí sinh đăng ký dự tuyển.
3. Công nhận trúng tuyển
Công bố kết quả trúng tuyển trên trang thông tin điện tử của Đại học và trên phương
tiện thông tin đại chúng khác. Thí sinh đủ điều kiện trúng tuyển sẽ nhận được Giấy báo
trúng tuyển đối với đối tượng xét tuyển đã tốt nghiệp THPT và Giấy báo trúng tuyển có
điều kiện với đối tượng xét tuyển đã tốt nghiệp cao đẳng, đại học và đề nghị xác nhận nhập
học. Trong thời gian quy định, thí sinh không thực hiện đầy đủ thủ tục xác nhận nhập học
sẽ không được công nhận là sinh viên chính thức.
Chương IV
XỬ LÝ VI PHẠM
Điều 23. Tiếp nhận thông tin và xử lý vi phạm trong công tác tuyển sinh
1. Nơi tiếp nhận thông tin, bằng chứng về vi phạm Quy chế tuyển sinh
a) Hội đồng tuyển sinh ĐHBK Hà Nội;
b) Ban Thanh tra nhân dân; Ban Thanh tra, Pháp chế và Kiểm toán nội bộ."
5730_qd-dhbk-qcts.pdf,17,XỬ LÝ VI PHẠM,Điều 23,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 17 | Điều 23]
Chương IV
XỬ LÝ VI PHẠM
Điều 23. Tiếp nhận thông tin và xử lý vi phạm trong công tác tuyển sinh
1. Nơi tiếp nhận thông tin, bằng chứng về vi phạm Quy chế tuyển sinh
a) Hội đồng tuyển sinh ĐHBK Hà Nội;
b) Ban Thanh tra nhân dân; Ban Thanh tra, Pháp chế và Kiểm toán nội bộ.
2. Đơn vị, cá nhân tiếp nhận thông tin, bằng chứng vi phạm Quy chế tuyển sinh có
trách nhiệm xử lý theo thẩm quyền và công bố công khai kết quả xử lý các cá nhân, tổ chức
có hành vi vi phạm Quy chế tuyển sinh.
Điều 24. Xử lý các cán bộ và thí sinh vi phạm trong công tác tuyển sinh
1. Thí sinh có hành vi vi phạm trong trong quá trình tham gia thi ĐGTD sẽ bị xử lý
theo quy định tại Quy chế thi ĐGTD.
2. Thí sinh đã trúng tuyển và nhập học nhưng bị phát hiện có hành vi gian lận hoặc
liên quan trực tiếp đến gian lận trong quá trình thi, xét tuyển có thể bị buộc thôi học, cấm"
5730_qd-dhbk-qcts.pdf,17,XỬ LÝ VI PHẠM,Điều 23,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 17]
1. Thí sinh có hành vi vi phạm trong trong quá trình tham gia thi ĐGTD sẽ bị xử lý
theo quy định tại Quy chế thi ĐGTD.
2. Thí sinh đã trúng tuyển và nhập học nhưng bị phát hiện có hành vi gian lận hoặc
liên quan trực tiếp đến gian lận trong quá trình thi, xét tuyển có thể bị buộc thôi học, cấm
dự tuyển vào ĐHBK Hà Nội trong 2 năm tiếp theo.
3. Người tham gia công tác tuyển sinh là công chức, viên chức có hành vi vi phạm
quy chế, tùy theo mức độ, sẽ bị xử lý theo quy định tại các văn bản quy phạm pháp luật
hiện hành. Đối với những người vi phạm Quy chế tuyển sinh là cán bộ, viên chức và giảng"
5730_qd-dhbk-qcts.pdf,18,TỔ CHỨC THỰC HIỆN,Điều 25,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 18 | Điều 25]
viên của Đại học, Giám đốc đại học quyết định xử lý theo các quy định pháp luật hiện hành
và quy chế của ĐHBK Hà Nội.
Chương V
TỔ CHỨC THỰC HIỆN
Điều 25. Trách nhiệm của Giám đốc đại học
1. Giám đốc đại học ban hành kế hoạch chung cho công tác tuyển sinh ĐHCQ và các
hình thức đào tạo khác, các quy định, quy chế.
2. Quyết định việc điều chỉnh Thông tin tuyển sinh trong điều kiện thiên tai, dịch
bệnh và các trường hợp bất khả kháng khác nhưng không được trái quy định của pháp luật
và các quy định, quy chế hiện hành.
3. Chỉ đạo tổ chức kiểm tra nội bộ và giải quyết khiếu nại, tố cáo trong việc thực hiện
Quy chế này.
Điều 26. Trách nhiệm của các đơn vị chức năng và Trường/Khoa quản ngành
1. Ban Tuyển sinh – Hướng nghiệp
a) Xây dựng và trình Giám đốc đại học phê duyệt kế hoạch công tác tuyển sinh ĐHCQ
hàng năm;"
5730_qd-dhbk-qcts.pdf,18,TỔ CHỨC THỰC HIỆN,Điều 25,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 18 | Điều 26]
3. Chỉ đạo tổ chức kiểm tra nội bộ và giải quyết khiếu nại, tố cáo trong việc thực hiện
Quy chế này.
Điều 26. Trách nhiệm của các đơn vị chức năng và Trường/Khoa quản ngành
1. Ban Tuyển sinh – Hướng nghiệp
a) Xây dựng và trình Giám đốc đại học phê duyệt kế hoạch công tác tuyển sinh ĐHCQ
hàng năm;
b) Đề xuất các phương thức tuyển sinh ĐHCQ;
c) Chủ trì xây dựng Thông tin tuyển sinh hàng năm theo quy định;
d) Tổ chức và phối hợp tổ chức các chương trình tư vấn, định hướng nghề nghiệp cho
học sinh ở quy mô cấp Đại học;
đ) Chủ trì xây dựng các văn bản liên quan đến công tác tuyển sinh;
e) Chủ trì thực hiện công tác thi tuyển, xét tuyển và nhập học.
2. Trung tâm Đào tạo liên tục
a) Xây dựng và trình Giám đốc đại học phê duyệt kế hoạch công tác tuyển sinh hàng
năm cho hình thức VLVH và ĐHCQ đối với người đã có bằng đại học chính quy;"
5730_qd-dhbk-qcts.pdf,18,TỔ CHỨC THỰC HIỆN,Điều 25,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 18]
e) Chủ trì thực hiện công tác thi tuyển, xét tuyển và nhập học.
2. Trung tâm Đào tạo liên tục
a) Xây dựng và trình Giám đốc đại học phê duyệt kế hoạch công tác tuyển sinh hàng
năm cho hình thức VLVH và ĐHCQ đối với người đã có bằng đại học chính quy;
b) Phối hợp với Ban Tuyển sinh – Hướng nghiệp xây dựng Thông tin tuyển sinh hàng
năm theo quy định;
c) Xác định nguồn tuyển, tổ chức tư vấn cho các đối tượng tiềm năng;
d) Đề xuất các phương thức tuyển sinh, chủ trì thực hiện công tác xét tuyển, xét tuyển
kết hợp phỏng vấn, và nhập học đối với các hình thức đào tạo VLVH, ĐHCQ (đối với
người đã có bằng đại học chính quy).
3. Ban Đào tạo
a) Đề xuất và trình Ban Giám đốc đại học phê duyệt mở ngành/chương trình mới,
đóng các ngành/chương trình không còn hiệu quả;
b) Tham gia công tác xét tuyển, nhập học;"
5730_qd-dhbk-qcts.pdf,18,TỔ CHỨC THỰC HIỆN,Điều 25,,"[Tài liệu: 5730_qd-dhbk-qcts.pdf | trang 18]
người đã có bằng đại học chính quy).
3. Ban Đào tạo
a) Đề xuất và trình Ban Giám đốc đại học phê duyệt mở ngành/chương trình mới,
đóng các ngành/chương trình không còn hiệu quả;
b) Tham gia công tác xét tuyển, nhập học;
c) Chủ trì công tác thi, xét tuyển vào chương trình Đào tạo tài năng."
