chunk_id,source,page,document_type,category,section,article,year,is_table,prefix_context,topic_tags,char_count,word_count,quality_flags,include_for_retrieval,content
909703909_so_tay_sinh_vien_2025_1_pdf_p12_0177_4f0d5e99f2a1,909703909-So-Tay-Sinh-Vien-2025-1.pdf,12,so_tay_sinh_vien,Sổ tay sinh viên,,khoản 1,2025,False,điều 5 Nghị định số 20/2021/NĐ-CP ngày 15/3/2021,dia_diem,926,189,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 12 | điều 5 Nghị định số 20/2021/NĐ-CP ngày 15/3/2021]
7 Con của người hoạt động kháng chiến bị nhiễm chất độc hoá học. CĐHH 100 ngày 30/5/2017 và Quyết định số 1656/QĐ-TTg, ngày 19/11/2019.
8 Sinh viên khuyết tật. KT 100
ĐỐI TƯỢNG ĐƯỢC VAY VỐN
Sinh viên từ 16 đến 22 tuổi không có nguồn nuôi dưỡng đang học đại học
văn bằng thứ nhất thuộc đối tượng hưởng trợ cấp xã hội hàng tháng theo quy Sinh viên thuộc một trong các diện sau được vay vốn tại Ngân hàng chính sách:
9 KCNND 100
định tại khoản 1 và 2 điều 5 Nghị định số 20/2021/NĐ-CP ngày 15/3/2021
của Chính phủ. Sinh viên mồ côi cả cha lẫn mẹ hoặc chỉ mồ côi cha hoặc mẹ nhưng người còn lại không có
khả năng lao động.
10 Sinh viên hệ cử tuyển. CT 100
Sinh viên là thành viên của hộ nghèo, cận nghèo theo quy định của Nhà nước.
Sinh viên là người dân tộc thiểu số rất ít người, ở vùng có điều kiện kinh tế -
XĐBKK-"
909703909_so_tay_sinh_vien_2025_1_pdf_p12_0178_bfab308f352a,909703909-So-Tay-Sinh-Vien-2025-1.pdf,12,so_tay_sinh_vien,Sổ tay sinh viên,,khoản 1,2025,False,,dia_diem,810,175,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 12]
khả năng lao động.
10 Sinh viên hệ cử tuyển. CT 100
Sinh viên là thành viên của hộ nghèo, cận nghèo theo quy định của Nhà nước.
Sinh viên là người dân tộc thiểu số rất ít người, ở vùng có điều kiện kinh tế -
XĐBKK-
11 xã hội khó khăn hoặc đặc biệt khó khăn theo quy định hiện hành của cơ quan 100
có thẩm quyền. -DT Sinh viên là thành viên của hộ gia đình có mức thu nhập bình quân đầu người tối đa bằng
150% mức thu nhập bình quân đầu người của hộ gia đình nghèo theo quy định của Nhà nước.
Sinh viên là người dân dân tộc thiểu số có cha hoặc mẹ hoặc cả cha và mẹ
12 hoặc ông bà (trong trường hợp ở với ông bà) thuộc hộ nghèo và hộ cận nghèo HN-DT 100 Sinh viên thuộc hộ gia đình gặp khó khăn về tài chính do tai nạn, bệnh tật, thiên tai, hỏa hoạn,"
909703909_so_tay_sinh_vien_2025_1_pdf_p12_0179_bfd291efe45b,909703909-So-Tay-Sinh-Vien-2025-1.pdf,12,so_tay_sinh_vien,Sổ tay sinh viên,,khoản 1,2025,False,,,838,177,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 12]
Sinh viên là người dân dân tộc thiểu số có cha hoặc mẹ hoặc cả cha và mẹ
12 hoặc ông bà (trong trường hợp ở với ông bà) thuộc hộ nghèo và hộ cận nghèo HN-DT 100 Sinh viên thuộc hộ gia đình gặp khó khăn về tài chính do tai nạn, bệnh tật, thiên tai, hỏa hoạn,
theo quy định của Thủ tướng Chính phủ. dịch bệnh trong thời gian theo học có xác nhận của Ủy ban nhân dân xã, phường, thị trấn nơi
cư trú.
Sinh viên là người dân tộc thiểu số (ngoài đối tượng dân tộc thiểu số rất ít
người) ở thôn/bản đặc biệt khó khăn, xã khu vực III vùng dân tộc và miền núi, DT-
13 70
xã đặc biệt khó khăn vùng bãi ngang ven biển hải đảo theo quy định của cơ -XĐBKK
quan có thẩm quyền. ĐỊNH MỨC VAY: 4.000.000đ/ sinh viên/ tháng
Sinh viên là con cán bộ, công chức, viên chức, công nhân mà cha hoặc mẹ"
909703909_so_tay_sinh_vien_2025_1_pdf_p12_0180_73ce745eea77,909703909-So-Tay-Sinh-Vien-2025-1.pdf,12,so_tay_sinh_vien,Sổ tay sinh viên,,khoản 1,2025,False,,ehust;dia_diem,687,143,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 12]
13 70
xã đặc biệt khó khăn vùng bãi ngang ven biển hải đảo theo quy định của cơ -XĐBKK
quan có thẩm quyền. ĐỊNH MỨC VAY: 4.000.000đ/ sinh viên/ tháng
Sinh viên là con cán bộ, công chức, viên chức, công nhân mà cha hoặc mẹ
14 bị tai nạn lao động hoặc mắc bệnh nghề nghiệp được hưởng trợ cấp thường TNLĐ 50 CÁCH THỨC ĐĂNG KÝ CẤP GIẤY VAY VỐN:
xuyên.
Sinh viên đăng nhập vào tài khoản cá nhân trên hệ thống cổng thông tin sinh viên eHUST
hoặc sổ tay CTSV online để đăng ký nhận giấy vay vốn.
Hệ thống sẽ tự động hẹn lịch trả giấy vay vốn tại Ban Công tác Sinh viên.
Chi tiết thông tin & hướng dẫn
chuẩn bị hồ sơ xem tại đây
22 23"
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0181_b814714eb5ad,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong,795,169,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
TÀI CHÍNH 2. TỐI ƯU THU NHẬP
Nắm được các chế độ chính sách hỗ trợ - Lựa chọn công việc làm thêm phù hợp
thời gian, kế hoạch học tập, mục tiêu tài
sinh viên; chính và tích lũy kinh nghiệm cho công
SINH VIÊN Tiếp cận các chương trình học bổng; việc sau này;
- Chỉ nhận việc làm thêm sau khi đã tìm
Tham gia các chương trình hướng nghiệp hiểu kỹ thông tin, tránh các bẫy lừa đảo
và nhận trợ giúp giới thiệu việc làm cho việc làm.
sinh viên.
- Tham gia chương trình quà tặng ATM;
3. QUẢN LÝ CHI TIÊU HIỆU QUẢ sửa chữa, tái sử dụng, tái chế các đồ vật cũ
để tiết giảm chi phí;
Dành 50% thu nhập cho chi tiêu thiết yếu,
30% cho hưởng thụ và 20% cho tiết kiệm; - Thực hành tiêu dùng xanh và bền vững,
hạn chế sử dụng đồ nhựa, đồ dùng 1 lần."
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0182_72c2d04615a7,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,dia_diem,882,190,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
- Tham gia chương trình quà tặng ATM;
3. QUẢN LÝ CHI TIÊU HIỆU QUẢ sửa chữa, tái sử dụng, tái chế các đồ vật cũ
để tiết giảm chi phí;
Dành 50% thu nhập cho chi tiêu thiết yếu,
30% cho hưởng thụ và 20% cho tiết kiệm; - Thực hành tiêu dùng xanh và bền vững,
hạn chế sử dụng đồ nhựa, đồ dùng 1 lần.
Mỗi sinh viên cần chủ động quản lý tài chính cá nhân để ổn định đời sống, biết cách tiếp cận các Bỏ riêng phần tiền cho từng mục đích và
chương trình hỗ trợ tài chính của Nhà nước và Nhà trường giúp giảm bớt gánh nặng kinh tế, tối ưu chỉ chi tiêu trong số tiền đã đặt ra.
thu nhập, quản lý chi tiêu hiệu quả, chọn lựa và sử dụng các dịch vụ tài chính an toàn, phòng tránh các
bẫy lừa đảo về tài chính.
Gửi tiền dự phòng vào một tài khoản ngân
hàng riêng, không sử dụng nếu không phải
4. QUỸ DỰ PHÒNG các trường hợp khẩn cấp."
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0183_bb0466ffccab,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,dia_diem,894,192,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
thu nhập, quản lý chi tiêu hiệu quả, chọn lựa và sử dụng các dịch vụ tài chính an toàn, phòng tránh các
bẫy lừa đảo về tài chính.
Gửi tiền dự phòng vào một tài khoản ngân
hàng riêng, không sử dụng nếu không phải
4. QUỸ DỰ PHÒNG các trường hợp khẩn cấp.
Tiết kiệm cho quỹ dự phòng số tiền tương
đương 3 tháng chi tiêu thiết yếu;
THIẾT LẬP MỤC TIÊU
Sử dụng cho các trường hợp khẩn cấp: ốm
VÀ LẬP KẾ HOẠCH Thiết lập mục tiêu đau, tai nạn.
cá nhân theo
Luôn đọc kỹ hợp đồng vay trước khi ký;
Mục tiêu là bản đồ dẫn đường cho hành động nguyên tắc SMART Không vay “tín dụng đen”.
Xác định mục tiêu cá nhân cho 5 năm học 5. VAY TIỀN AN TOÀN
Lập kế hoạch tài chính để đạt được mục tiêu
Chỉ vay tiền khi thực sự cần thiết; và chỉ
vay tại các tổ chức cho vay uy tín;
Tham khảo các chương trình cho vay hỗ
- Không cung cấp thông tin cá nhân khi"
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0184_bd734b33c611,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,,850,212,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
Xác định mục tiêu cá nhân cho 5 năm học 5. VAY TIỀN AN TOÀN
Lập kế hoạch tài chính để đạt được mục tiêu
Chỉ vay tiền khi thực sự cần thiết; và chỉ
vay tại các tổ chức cho vay uy tín;
Tham khảo các chương trình cho vay hỗ
- Không cung cấp thông tin cá nhân khi
trợ sinh viên với lãi suất thấp của: Ngân chưa xác định chính xác website,
ứng dụng và danh tính tư vấn viên;
hàng chính sách, Ngân hàng thương mại;
- Không cung cấp thông tin tài khoản
Hạn chế vay để tiêu dùng; Không nên sử ngân hàng, mã OTP cho người khác;
NHỮNG VẤN ĐỀ CỐT LÕI VỀ TÀI CHÍNH CÁ NHÂN dụng nhiều hơn 2 thẻ tín dụng cùng lúc; - m K à h c ô á n c g đ c ố h i u tư yể ợ n n g ti ề lạ n c v u à n o g t c à ấ i p k , h d o ụ ả n d ỗ c ; á nhân
Lập kế hoạch trả nợ và trả nợ đúng hạn; - Không tham gia các lời mời chào"
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0185_0ced7f2402fc,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_phi;hoc_bong,829,211,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
NHỮNG VẤN ĐỀ CỐT LÕI VỀ TÀI CHÍNH CÁ NHÂN dụng nhiều hơn 2 thẻ tín dụng cùng lúc; - m K à h c ô á n c g đ c ố h i u tư yể ợ n n g ti ề lạ n c v u à n o g t c à ấ i p k , h d o ụ ả n d ỗ c ; á nhân
Lập kế hoạch trả nợ và trả nợ đúng hạn; - Không tham gia các lời mời chào
1. QUẢN LÝ NGÂN SÁCH THÁNG đầu tư có lợi nhuận đặc biệt cao;
Kiểm tra điểm tín dụng cá nhân. - Chỉ nhận thông tin tư vấn từ những người
Ngân sách là một kế hoạch tài có chuyên môn, các tổ chức uy tín.
THU NHẬP CHI TIÊU
chính để phân bổ thu nhập cho
Học bổng Chi tiêu thiết yếu chi tiêu và tiết kiệm 6. NHẬN DIỆN LỪA ĐẢO TÀI CHÍNH Hãy trang bị ngay những kiến thức Quản lý
Học phí Thu nhập là số tiền bạn có được Liên tục cập nhật thông tin để nhận diện tài chính cá nhân nền tảng, bài bản và có hệ"
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0186_de1aa438e642,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_phi;hoc_bong,897,257,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
THU NHẬP CHI TIÊU
chính để phân bổ thu nhập cho
Học bổng Chi tiêu thiết yếu chi tiêu và tiết kiệm 6. NHẬN DIỆN LỪA ĐẢO TÀI CHÍNH Hãy trang bị ngay những kiến thức Quản lý
Học phí Thu nhập là số tiền bạn có được Liên tục cập nhật thông tin để nhận diện tài chính cá nhân nền tảng, bài bản và có hệ
Trợ cấp từ Gia đình Ă N n h u à ố tr n ọ g từ nhiều nguồn khác nhau c M ác ộ t h s ìn ố h d t ấ h u ứ c h i l ệ ừ u a đ đ ể ả o n h p ậ h n ổ b b i i ế ế t n lừa đảo tài t g h iả ố m ng b đ ớ ể t g g i á ú n p h b n ạ ặ n n c g h ủ tà đ i ộ c n h g ín q h u , ả tr n á n lý h ti b ề ẫ n y b l ạ ừ c a ,
Đi lại Chi tiêu là số tiền chi trả cho chính: danh tính không rõ ràng, lợi nhuận đảo,... ngay từ những năm đầu Đại học.
Tiền làm thêm Sức khỏe hàng hóa và dịch vụ đặc biệt cao, điều kiện tham gia dễ dàng…
Tiết kiệm để dùng cho tương lai"
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0187_80d7e485978f,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,,877,243,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
Đi lại Chi tiêu là số tiền chi trả cho chính: danh tính không rõ ràng, lợi nhuận đảo,... ngay từ những năm đầu Đại học.
Tiền làm thêm Sức khỏe hàng hóa và dịch vụ đặc biệt cao, điều kiện tham gia dễ dàng…
Tiết kiệm để dùng cho tương lai
Thu nhập thụ động Quét mã QR đăng ký khóa
học Quản lý tài chính cá
Các nguồn khác Hưởng thụ - - T Lu iế ô t n k g iệ iữ m c t h rư o ớ c c h i k ti h ê i u ch n i h ti ỏ ê u h . ơ n thu nhập. 7. TRANG BỊ KIẾN THỨC VỀ QUẢN LÝ TÀI CHÍNH n d h àn ân h h ri o ê à n n g t c o h à o n s m in iễ h n v p iê h n í
Du lịch - v à X tí ây c h d ự lũ n y g v q ố u n ỹ đ d ầ ự u p tư h ò t n ừ g tiền tiết kiệm. Liên tục trau dồi kiến thức về quản lý tài năm nhất!
TIẾT KIỆM Giải trí - Đầu tư từ sớm để tạo thu nhập thụ động. chính cá nhân. Thiết lập nền tảng an tâm Hạn đăng ký: 30/09/2025"
909703909_so_tay_sinh_vien_2025_1_pdf_p13_0188_47d89dc4afc3,909703909-So-Tay-Sinh-Vien-2025-1.pdf,13,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,,411,100,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 13]
Du lịch - v à X tí ây c h d ự lũ n y g v q ố u n ỹ đ d ầ ự u p tư h ò t n ừ g tiền tiết kiệm. Liên tục trau dồi kiến thức về quản lý tài năm nhất!
TIẾT KIỆM Giải trí - Đầu tư từ sớm để tạo thu nhập thụ động. chính cá nhân. Thiết lập nền tảng an tâm Hạn đăng ký: 30/09/2025
tài chính, thịnh vượng và thành công
Truy cập kho học liệu miễn phí.…..
24 25"
909703909_so_tay_sinh_vien_2025_1_pdf_p14_0189_74361489540c,909703909-So-Tay-Sinh-Vien-2025-1.pdf,14,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_phi;hoc_bong;dao_tao;ehust;lien_he,859,185,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 14]
HỌC BỔNG
TÀI TRỢ DOANH NGHIỆP
HỌC BỔNG
KHUYẾN KHÍCH HỌC TẬP
Sinh viên cập nhật thông tin về các chương trình học

bổng doanh nghiệp trên QLĐT/eHUST
02 Sinh viên hoàn thành form đăng ký online theo hướng
A B C dẫn trong thông báo
GPA ≥ 3.6 GPA ≥ 3.2 GPA ≥ 2.5
VÀ ĐIỂM RÈN LUYỆN VÀ ĐIỂM RÈN LUYỆN VÀ ĐIỂM RÈN LUYỆN
HỌC KỲ ≥ 90 ĐIỂM HỌC KỲ ≥ 80 ĐIỂM HỌC KỲ ≥ 65 ĐIỂM
03 Sinh viên nhận kết quả sơ loại hồ sơ trên QLĐT/eHUST
Học bổng loại xuất sắc Học bổng loại giỏi Học bổng loại khá
Bằng 1.5 lần mức học Bằng 1.2 lần mức học Bằng tổng học phí của
bổng loại khá bổng loại khá các học phần có tính
điểm GPA của học kỳ
chính liền trước
Sinh viên vượt qua vòng hồ sơ online sẽ nhận được

email hướng dẫn chuẩn bị hồ sơ bản cứng và nộp hồ sơ
theo hướng dẫn
Sinh viên nhận kết quả xét học bổng cuối cùng qua"
909703909_so_tay_sinh_vien_2025_1_pdf_p14_0190_de7f2d693603,909703909-So-Tay-Sinh-Vien-2025-1.pdf,14,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong;dao_tao;ehust;lien_he;dia_diem,905,185,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 14]
email hoặc xem danh sách sinh viên nhận học bổng trên
LƯU Ý: KHÔNG XÉT CẤP HỌC BỔNG
QLĐT/eHUST
ĐỐI VỚI SV THUỘC MỘT TRONG CÁC TRƯỜNG HỢP SAU
a. Chịu hình thức kỷ luật từ mức khiển trách trở lên tại d. Học quá thời gian học tập chuẩn của chương trình
thời điểm xét học bổng; đào tạo. Sinh viên nhận học bổng qua chuyển khoản ngân hàng
b. Đăng ký học ít nhất hơn 15 tín chỉ (kể cả các học đ. Học chương trình đào tạo do trường đối tác nước 06 từ nhà trường hoặc doanh nghiệp/ quỹ học bổng tài trợ
phần không tính điểm GPA) tại học kỳ lấy điểm xét cấp ngoài cấp một văn bằng tốt nghiệp duy nhất. và tham dự Lễ trao học bổng theo hướng dẫn của nhà
học bổng, ngoại trừ học kỳ 1 năm học thứ nhất. trường
c. Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần
không tính điểm GPA) tại học kỳ cấp học bổng;
ctsv@hust.edu.vn
dt@hust.edu.vn ctsv@hust.edu.vn"
909703909_so_tay_sinh_vien_2025_1_pdf_p14_0191_f8d677ddacc4,909703909-So-Tay-Sinh-Vien-2025-1.pdf,14,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong;dao_tao,296,48,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 14]
học bổng, ngoại trừ học kỳ 1 năm học thứ nhất. trường
c. Đăng ký học ít hơn 6 tín chỉ (kể cả các học phần
không tính điểm GPA) tại học kỳ cấp học bổng;
ctsv@hust.edu.vn
dt@hust.edu.vn ctsv@hust.edu.vn
thu.nguyenthianh@hust.edu.vn
26 27"
909703909_so_tay_sinh_vien_2025_1_pdf_p15_0192_5f064a7a84bf,909703909-So-Tay-Sinh-Vien-2025-1.pdf,15,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong;dao_tao;ngoai_ngu;dia_diem,834,173,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 15]
HỌC BỔNG HỌC BỔNG
TRẦN ĐẠI NGHĨA
TRAO ĐỔI SINH VIÊN
Học bổng vinh dự mang tên GS. Trần Đại Nghĩa
(1913 – 1997) - Giáo sư, kỹ sư quân sự, nhà bác học,
Tướng lĩnh Quân đội nhân dân Việt Nam.
MỤC ĐÍCH CỦA HỌC BỔNG
MỤC ĐÍCH CỦA HỌC BỔNG Thực hiện trách nhiệm của ĐHBK Hà Nội đối với xã hội
trong công tác đào tạo nguồn nhân lực chất lượng cao
Thực hiện trách nhiệm của ĐHBKHN đối với xã phục vụ cho quá trình công nghiệp hóa, hiện đại hóa đất
hội trong công tác đào tạo nguồn nhân lực chất nước.
lượng cao phục vụ cho quá trình công nghiệp
hóa, hiện đại hóa đất nước. Tạo điều kiện và hỗ trợ một phần kinh phí cho sinh viên
ĐHBK Hà Nội đi học tập, nâng cao trình độ chuyên môn,
Hỗ trợ cho những sinh viên của Trường có hoàn ngoại ngữ, phát triển kỹ năng, kinh nghiệm trong môi"
909703909_so_tay_sinh_vien_2025_1_pdf_p15_0193_278109e64722,909703909-So-Tay-Sinh-Vien-2025-1.pdf,15,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong;dao_tao;ngoai_ngu,799,168,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 15]
lượng cao phục vụ cho quá trình công nghiệp
hóa, hiện đại hóa đất nước. Tạo điều kiện và hỗ trợ một phần kinh phí cho sinh viên
ĐHBK Hà Nội đi học tập, nâng cao trình độ chuyên môn,
Hỗ trợ cho những sinh viên của Trường có hoàn ngoại ngữ, phát triển kỹ năng, kinh nghiệm trong môi
cảnh khó khăn, có ý chí, nghị lực vươn lên trong trường giáo dục quốc tế, góp phần nâng cao hiệu quả,
học tập. chất lượng đào tạo.
Thu hút những học sinh xuất sắc vào học tại Tăng cường hội nhập quốc tế, góp phần quảng bá và
ĐHBKHN. nâng cao hình ảnh, vị thế của Đại học Bách khoa Hà Nội.
ĐỐI TƯỢNG XÉT CẤP HỌC BỔNG Thu hút học sinh xuất sắc vào học tại ĐHBK Hà Nội
Học bổng Trần Đại Nghĩa là Học bổng của ĐHBK Hà Nội xét cấp cho sinh viên có hoàn cảnh kinh"
909703909_so_tay_sinh_vien_2025_1_pdf_p15_0194_c785bd982ba3,909703909-So-Tay-Sinh-Vien-2025-1.pdf,15,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong;dao_tao;ngoai_ngu,851,189,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 15]
ĐHBKHN. nâng cao hình ảnh, vị thế của Đại học Bách khoa Hà Nội.
ĐỐI TƯỢNG XÉT CẤP HỌC BỔNG Thu hút học sinh xuất sắc vào học tại ĐHBK Hà Nội
Học bổng Trần Đại Nghĩa là Học bổng của ĐHBK Hà Nội xét cấp cho sinh viên có hoàn cảnh kinh
tế gia đình đặc biệt khó khăn (hộ nghèo, hộ cận nghèo hoặc hộ có hoàn cảnh kinh tế đặc biệt khó ĐỐI TƯỢNG HỌC BỔNG MỨC HỌC BỔNG
khăn khác), có kết quả học tập và rèn luyện tốt.
Học bổng xét cấp cho sinh viên xếp Học bổng có giá trị tối đa là 30 triệu đồng/sinh
hạng trình độ năm học từ năm thứ viên.
MỨC HỌC BỔNG 3 trở đi có CPA ≥ 3.2, ĐRL tích lũy Học bổng được cấp bằng vé máy bay khứ hồi và
≥ 80, có trình độ ngoại ngữ và môn gói bảo hiểm du lịch quốc tế Flexi mức Vàng của
đăng ký học tập/ thực tập phù hợp. công ty Bảo hiểm Bảo Việt (học bổng không cấp"
909703909_so_tay_sinh_vien_2025_1_pdf_p15_0195_f2b9a5d20c56,909703909-So-Tay-Sinh-Vien-2025-1.pdf,15,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_phi;hoc_bong;dao_tao;ngoai_ngu;ehust,886,191,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 15]
hạng trình độ năm học từ năm thứ viên.
MỨC HỌC BỔNG 3 trở đi có CPA ≥ 3.2, ĐRL tích lũy Học bổng được cấp bằng vé máy bay khứ hồi và
≥ 80, có trình độ ngoại ngữ và môn gói bảo hiểm du lịch quốc tế Flexi mức Vàng của
đăng ký học tập/ thực tập phù hợp. công ty Bảo hiểm Bảo Việt (học bổng không cấp
Học bổng Trần Đại Nghĩa có 2 mức tương ứng với 50% và 100% học phí sinh viên phải đóng
bằng tiền mặt).
trong học kỳ xét, cấp học bổng.
NGUYÊN TẮC XÉT, CẤP HỌC BỔNG TRẦN ĐẠI NGHĨA QUY TRÌNH XÉT, CẤP HỌC BỔNG
Học bổng Trần Đại Nghĩa được xét, cấp theo học kỳ, mỗi học kỳ xét 01 lần vào đầu học kỳ. Ban Công tác sinh viên thông báo công khai thông tin về các chương trình học bổng trao
đổi sinh viên trên QLĐT/ eHUST.
Không xét, cấp học bổng Trần Đại Nghĩa cho những sinh viên không đăng ký học tập tại thời
điểm xét, cấp học bổng."
909703909_so_tay_sinh_vien_2025_1_pdf_p15_0196_617b3497db52,909703909-So-Tay-Sinh-Vien-2025-1.pdf,15,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong;dao_tao;ehust,907,189,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 15]
đổi sinh viên trên QLĐT/ eHUST.
Không xét, cấp học bổng Trần Đại Nghĩa cho những sinh viên không đăng ký học tập tại thời
điểm xét, cấp học bổng.
Sinh viên đăng ký xét học bổng bằng hình thức trực tuyến (online) và nộp hồ sơ văn bản
Không xét, cấp học bổng Trần Đại Nghĩa cho những sinh viên đang trong thời gian bị kỷ luật giấy về Ban Công tác sinh viên.
từ mức cảnh cáo trở lên.
Hết thời gian đăng ký, Ban Công tác sinh viên tổng hợp danh sách và báo cáo Hội đồng xét,
Không xét, cấp học bổng Trần Đại Nghĩa cho những sinh viên đã được nhận học bổng KKHT
cấp học bổng trao đổi sinh viên để họp xét.
hoặc học bổng tài trợ trong học kỳ xét, cấp học bổng Trần Đại Nghĩa.
Không xét, cấp học bổng Trần Đại Nghĩa cho sinh viên diện chế độ chính sách được miễn, giảm Ban Công tác sinh viên làm hồ sơ báo cáo Giám đốc đại học ra quyết định cấp học bổng"
909703909_so_tay_sinh_vien_2025_1_pdf_p15_0197_9e7eb918e9fd,909703909-So-Tay-Sinh-Vien-2025-1.pdf,15,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_phi;hoc_bong;dia_diem,407,83,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 15]
cấp học bổng trao đổi sinh viên để họp xét.
hoặc học bổng tài trợ trong học kỳ xét, cấp học bổng Trần Đại Nghĩa.
Không xét, cấp học bổng Trần Đại Nghĩa cho sinh viên diện chế độ chính sách được miễn, giảm Ban Công tác sinh viên làm hồ sơ báo cáo Giám đốc đại học ra quyết định cấp học bổng
học phí theo quy định của Nhà nước. cho sinh viên.
28 29"
909703909_so_tay_sinh_vien_2025_1_pdf_p16_0198_cc76d2841655,909703909-So-Tay-Sinh-Vien-2025-1.pdf,16,so_tay_sinh_vien,Sổ tay sinh viên,,,2025,False,,hoc_bong;dao_tao;dia_diem,897,184,,True,"[Tài liệu: 909703909-So-Tay-Sinh-Vien-2025-1.pdf | trang 16]
HỌC BỔNG HỖ TRỢ HƯỚNG NGHIỆP
& VIỆC LÀM
GẮN KẾT QUÊ HƯƠNG
L
CHO SINH VIÊN
MỤC ĐÍCH CỦA HỌC BỔNG
Thực hiện trách nhiệm của Đại học Bách khoa
Hà Nội đối với xã hội trong việc nâng cao chất Công tác tư vấn hỗ trợ hướng nghiệp và việc làm cho sinh viên luôn được ĐHBK
lượng, hiệu quả kinh doanh, sản xuất, chất Hà Nội quan tâm, chú trọng.
lượng các dịch vụ an sinh xã hội, góp phần đẩy
mạnh quá trình công nghiệp hóa, hiện đại hóa
đất nước.
Gắn kết quá trình đào tạo, nghiên cứu của
TƯ VẤN HƯỚNG NGHIỆP THỰC TẾ, THỰC TẬP DOANH NGHIỆP
Đại học Bách khoa Hà Nội với hoạt động kinh
VÀ ĐÀO TẠO KỸ NĂNG
doanh, sản xuất; góp phần nâng cao hiệu quả,
chất lượng đào tạo.
Hàng năm, Nhà trường phối hợp với các đơn Nhà trường thường xuyên giới thiệu, tổ chức
vị, doanh nghiệp... tổ chức ngày hội hướng cho sinh viên đi thực tế, thực tập tại các cơ"
